abakus;kulram
förtröstan;tillit
förtröstan;tilltro
förtur;företräde
förtur;företrädesrätt
förtur;prioritet
förtvina;skrumpna
förtvivla;misströsta
förtvivlad;bedrövad
förtvivlad;olycklig
förtvivlad;tröstlös
förtvivlan;desperation
förtvivlan;hopplöshet
förtvivlan;missmod
förtydliga;belysa
förtydliga;förklara
förtydliga;klargöra
förtydliga;klarlägga
förtydliga;precisera
förtydliga;synliggöra
förtydliga;tydliggöra
förtäckt;dold
förtöja;lägga till
förtäkt;hemlig
förtälja;berätta
förtälja;meddela
förtälja;omtala
förtälja;tala om
förtära;inmundiga
förtära;käka
förtära;äta
förtörna;förarga
förtörna;irritera
förtörna;reta
förtörnad;förargad
förtörnad;förnärmad
förtörnad;gramse
förtörnad;vred
förunderlig;besynnerlig
förunderlig;egendomlig
förunderlig;konstig
förunderlig;märklig
förunderlig;sällsam
förundrad;förvånad
förundrad;häpen
förundran;häpnad
förundras;häpna
förut;dessförinnan
förut;för
förut;för ett tag sedan
förut;förr
förutbestämt;predisponerat
förutom;bortsett från
förutom;frånsett
förutom;undantagen
förutom;utan
förutom;utöver
förutsatt;så till vida
förutse;ana
förutse;förutsäga
förutse;prediktera
förutse;profetera
förutse;spå
förutsebar;förutsägbar
förutseende;proaktiv
förutsäga;aning
förutsäga;förutse
förutsäga;prediktera
förutsäga;prognos
förutsäga;sia
förutsäga;spå
förutsägbar;förutsebar
förutsägelse;prognos
förutsägelse;prognostisk
förutsätta;anta
förutsätta;antaga
förutsätta;ta för givet
förutsättning;betingelse
förutsättning;grundförutsättning
förutsättning;villkor
förutvarande;förra
förvalta;förestå
förvalta;handha
förvalta;hantera
förvalta;sköta
förvalta;ta hand om
förvaltare;administratör
förvaltning;administrering
förvaltning;skötsel
förvandla;konvertera
förvandla;ombilda
förvandla;omforma
förvandla;omskapa
förvandla;transformera
förvandling;metamorfos
förvandling;omvandling
förvandling;transformation
förvanska;förvränga
förvanska;vanställa
förvanskning;distorsion
förvar;förråd
förvar;lager
förvara;deponera
förvara;hysa
förvara;lagra
förvara;magasinera
förvaringsbyggnad;lager
förvaringslokal;magasin
förvaringslåda;box
förvaringsmöbel;skåp
förvaringsrum;förråd
förvaringsrum;lager
förvaringsrum;magasin
förvaringsutrymme;lager
förverka;förspilla
förverkliga;genomdriva
förverkliga;genomföra
förverkliga;infria
förverkliga;realisera
förverkliga;uppfylla
förvilla;desinformera
förvilla;dupera
förvilla;förblinda
förvilla;förleda
förvilla;lura
förvilla;missleda
förvilla;vilseföra
förvilla;vilseleda
förvillande;illusorisk
förvillelse;villfarelse
förvirrad;bortkommen
förvirrad;desorienterad
förvirrad;snurrig
förvirrad;vilsen
förvirrad;vimsig
förvirrad;virrig
förvirring;bryderi
förvirring;desorientering
förvirring;härva
förvirring;sinnesfrånvaro
förvirring;töcken
förvisa;deportera
förvisa;vräka
förvissa;försäkra
förvissad;säker
förvissad;trygg
förvissning;säkerhet
förvissning;visshet
förvisso;i sanning
förvisso;onekligen
förvisso;otvivelaktigt
förvisso;visserligen
förvrida;förvränga
förvrida;vanställa
förvriden;falsk
förvränga;förställa
förvränga;förvanska
förvränga;förvrida
förvränga;ändra
förvägra;avslå
förvägra;förbjuda
förvägra;neka
förvåna;överraska
förvåna;överrumpla
förvånad;förundrad
förvånad;häpen
förvånad;paff
förvånad;perplex
förvånad;roligt
förvånad;snopen
förvånad;tagen på sängen
förvånad;överraskad
förvånad;överrumplad
förvånande;förbluffande
förvånande;häpnadsväckande
förvånande;överraskande
förvånansvärd;överraskande
förvånansvärt;överraskande
förvånas;baxna
förvånas;häpna
förvåning;förbluffelse
förvåning;häpenhet
förvåning;häpnad
förvänta;räkna med
förvänta;vänta sig
förväntan;förväntning
förväntan;hopp
förväntning;förhoppning
förväntning;förväntan
förvärra;försvåra
förvärra;försämra
förvärv;inköp
förvärv;köp
förvärv;uppköp
förvärva;anskaffa
förvärva;köpa
förvärva;tjäna
förvärvsarbeta;jobba
förväxling;förblandning
förväxling;sammanblandning
föröda;demolera
föröda;förstöra
förödelse;förstörelse
förödelse;härjning
förödelse;skada
förödelse;ödeläggelse
förädla;förbättra
förädla;förfina
förädla;kultivera
förädla;rena
förädla;utveckla
förädlad;raffinerad
förädling;förfining
förädling;raffinering
förödmjuka;förnedra
förödmjuka;förolämpa
förödmjuka;skymfa
förödmjukande;förnedrande
förödmjukelse;förnedring
förödmjukelse;skam
förödmjukelse;skymf
förödmjukelse;smälek
förödmjukelse;ärekränkning
föråldrad;obsolet
föråldrad;ålderdomlig
föräldrar;päron
föråldrat;gammalt
förälskad;betuttad
förälskad;in love
förälskad;kär
förälskade;kära
föränderlig;dynamisk
föränderlig;ombytlig
föränderlig;skiftande
föränderlig;växlande
förändra;byta
förändra;modifiera
förändra;omarbeta
förändra;ombilda
förändra;omdana
förändra;omforma
förändra;omskapa
förändra;omvandla
förändra;ändra
förändrar;ändrar
förändras;byta skepnad
förändras;skifta
förändras;skiftning
förändring;mutation
förändring;ombildning
förändring;ombyte
förändring;omställning
förändring;omvandling
förändring;omväxling
förändring;skifte
förändring;skiftning
förändring;transformation
förändring;vändpunkt
förändring;växling
förändring;ändring
förändringsbar;variabel
förändringsobenägen;konservativ
förångas;avdunsta
förära;ge
förära;skänka
förövare;gärningsman
fösa;driva
fösa;knuffa
fösa;puffa
fösa;putta
fösa;skjuta
fösa;skuffa
fösning;knuff
fästa;anbringa
fästa;boja
fästa;fixera
fästa;foga
fästa;häfta
fästa;klistra
fästa;linda
fästa;plantera
fästa;surra
fästa;säkra
fästad;fixerad
fäste;förankring
fäste;grepp
fäste;grund
fäste;värn
fästning;fort
fåtölj;länstol
fåvittsko;ovetande
gadd;tand
gaffla;käbbla
gage;arvode
gage;honorar
gagga;dilla
gagga;jamsa
gagga;pladdra
gagn;fördel
gagn;fördelaktig
gagn;nytta
gagn;vinst
gagna;främja
gagna;gynna
gagna;nytta
gagna;nyttja
gagna;plus
gagnlös;förgäves
gagnlös;lönlös
gagnlös;meningslös
gagnlöst;förgäves
gala;skrika
galant;prima
galej;fest
galej;kalas
galej;party
galen;befängd
galen;crazy
galen;dåraktig
galen;dåre
galen;förflugen
galen;förryckt
galen;helknasig
galen;helknäpp
galen;hysterisk
galen;knasig
galen;knäpp
galen;psykotisk
galen;rubbad
galen;sinnessjuk
galen;sjövild
galen;skogstokig
galen;stollig
galen;tokig
galen;tossig
galen;vansinnig
galen;vanvettig
galen;vettlös
galen;vild
galen;vimsig i plymen
galen;vrickad
galenskap;dårskap
galenskap;idioti
galenskap;tokeri
galenskap;vansinne
galenskap;vanvett
galenskapare;tokfrans
galet;sjukt
galet;tokigt
galge;hängare
galge;klädgalge
galge;klädhängare
galjonsbild;galjonsfigur
galjonsfigur;galjonsbild
galleria;köpcenter
gallimatias;nonsens
gallimatias;smörja
gallimatias;strunt
gallra;rensa
gallra;sålla
gallskrika;vråla
galltjut;vrål
galnaste;crazy
galning;dåre
galning;vanvettig
galning;vettvilling
galt;hangris
galt;orne
galvanisering;stålförädling
gam;asfågel
game;lek
game;parti
game;spel
gamling;en gammal en
gamling;åldring
gammal;forntida
gammal;förlegad
gammal;mossig
gammal;veteran
gammal;ålderstigen
gammal;åldrad
gammal;åldrig
gammal man;gubbe
gammaldags;arkaisk
gammaldags;gammalmodig
gammaldags;omodern
gammaldags;retro
gammaldags;ålderdomlig
gammalmodig;förlegad
gammalmodig;gammaldags
gammalmodig;omodern
gammalt;föråldrat
gangster;bov
gangster;skurk
ganska;mer eller mindre
ganska;nästan
ganska;någorlunda
ganska;någotsånär
ganska;relativt
ganska;rätt så
ganska;så där
ganska;troligt
ganska;typ
ganska;tämligen
ganska;ungefär
ganska bra;skaplig
gap;glugg
gap;hål
gap;klyfta
gap;mellanrum
gap;mun
gap;svalg
gap;tomrum
gap;öppning
gapa;gasta
gapa;hojta
gapa;ropa
gapa;ryta
gapa;skrika
gapa;skråla
gapande;skrikande
gapig;högröstad
gapskratta;garva
garant;säkerhet
garantera;försäkra
garantera;lova
garantera;säkra
garantera;tillförsäkra
garanti;försäkran
garanti;säkerhet
garanti;säljaransvar
gard;försvar
gard;försvarsställning
gard;skydd
gard;vakt
gardera;försvara
gardera;skydda
garderad;skyddad
garderob;klädförvaring
garderob;klädkammare
garderob;klädskåp
garnera;dekorera
garnison;militärförläggning
garnityr;pynt
garnityr;tänder
garv;skratt
garva;flabba
garva;gapskratta
garva;skratt
garva;skratta
gas;jude
gasa;prutta
gaska upp;uppmuntra
gast;spöke
gast;vålnad
gasta;gapa
gasta;hojta
gasta;skrika
gasta;skråla
gasta;vråla
gastkramande;hårresande
gastkramande;spännande
gastkramning;spänning
gata;väg
gatflicka;prostituerad
gatuflicka;prostituerad
gatukonst;graffiti
gatustrider;kravaller
ge;bidra
ge;bidraga
ge;donera
ge;framföra
ge;förmedla
ge;förära
ge;giva
ge;langa
ge;lämna
ge;skänka
ge;tillhandahålla
ge;överlämna
ge;överräcka
ge besked;svara
ge bifall;godkänna
ge bort;skänka
ge bort;överlåta
ge di;amma
ge efter;dagtinga
ge eko;genljuda
ge fyr;avfyra
ge fyr;skjuta
ge husrum;härbärgera
ge i igen;vedergällning
ge igen;hämnas
ge komplimang;berömma
ge order;befalla
ge ro;lugna
ge sig;kapitulera
ge sig av;resa
ge sparken;avskeda
ge stryk;aga
ge stryk;spöa
ge tillbaka;återgälda
ge upp;kapitulera
ge upp;offra
ge ut;edera
ge ut;spendera
gebit;fack
gebit;intresseområde
gebit;område
gedigen;fullödig
gedigen;massiv
gedigen;rejäl
gedigen;solid
gedigen;stabil
gedigen;stadig
gediget;stabilt
gegga;kladda
gegga;klet
gegga;lera
gegga;röra
gegga;smet
gegga;sörja
geggig;gyttjig
geggig;kletig
gelike;jämlik
gem;klammer
gem;pappersklämma
gemen;elak
gemen;illvillig
gemen;nedrig
gemen;ondsint
gemensam;enhetlig
gemensam;kollektiv
gemenskap;samhörighet
gemytlig;angenäm
gemytlig;behaglig
gemytlig;mysig
gemytlig;trevlig
gemytlig;trivsam
gen;arvsanlag
genant;penibel
genant;pinsam
genast;bums
genast;direkt
genast;med det samma
genast;nu
genast;omedelbar
genast;omedelbart
genast;omgående
genast;på direkten
genast;på en gång
genast;på momangen
genast;ögonaböj
genast;ögonblickligen
gendarm;polis
gener;anlag
generad;förlägen
generad;utskämd
general;fältherre
generalisering;förenkling
generande;pinsam
generation;släktled
generator;dynamo
generell;allmän
generell;vanlig
generell;övergripande
generellt;vanligtvis
generellt;över lag
generera;alstra
generera;framkalla
generera;framställa
generera;väcka
generisk;allmän
generositet;givmild
generositet;givmildhet
generös;frikostig
generös;givmild
generös;storsint
gengälda;gottgöra
gengälda;återgälda
gengångare;vålnad
gengångare;zombie
geni;ljushuvud
geni;mycket smart
geni;snille
genial;lysande
genial;sinnrik
genialisk;lysande
genialisk;skarpsinnig
genialisk;snillrik
genitalier;könsorgan
genljuda;dåna
genljuda;eka
genljuda;eko
genljuda;ge eko
genmäla;svara
genmäle;replik
genmäle;respons
genmäle;svar
genmäle;svara
genom;igenom
genom;via
genomblöta;drypande
genomborra;borra
genomborra;genomtränga
genomborra;perforera
genomdriva;framtvinga
genomdriva;förverkliga
genomdriva;tvinga igenom
genomdriva;uträtta
genomdriva;verkställa
genomfart;led
genomfart;passage
genomföra;fullborda
genomföra;fullfölja
genomföra;förverkliga
genomföra;implementera
genomföra;realisera
genomföra;utföra
genomföra;uträtta
genomföra;verkställa
genomförbart;möjligt
genomgripande;fullständig
genomgripande;ingående
genomgripande;radikal
genomgående;alltigenom
genomgående;konsekvent
genomgående;överlag
genomgång;passage
genomgång;redovisning
genomlida;uthärda
genomlida;utstå
genomrutten;usel
genomskinlig;transparant
genomskinlig;transparent
genomskåda;avslöja
genomslagskraft;effekt
genomsnitt;medel
genomsnitt;medeltal
genomsnitt;medelvärde
genomsnittlig;medel
genomsnittlig;medeltal
genomsnittlig;medelvärde
genomsnittlig;medium
genomsnittlig;normal
genomströmning;flöde
genomsynlig;transokulär
genomsöka;visitera
genomtränga;genomborra
genomtränga;penetrera
genomträngande;gäll
genomträngande;penetrerande
genomtvinga;forcera
genomtänkt;överlagd
genre;kategori
genre;sort
genre;stil
genre;typ
genstridig;motvillig
gensvar;reaktion
gensvar;respons
gentemot;i jämförelse med
gentemot;kontra
gentleman;herreman
genuin;autentisk
genuin;oförfalskad
genuin;äkta
genuinitet;äkthet
genus;kön
ger;skänker
german;tysk
gest;handling
gest;handrörelse
gestalt;figur
gestalt;skepnad
gestalta;forma
gestalta;framträda som
gestalta;spela
gestalta;utgöra
gestaltas;framställs
gestaltning;avbildning
gestaltning;form
gestaltning;tolkning
gesäll;lärling
geting;stekel
getunge;killing
gevär;bössa
gevär;musköt
gevär;studsare
gevär;vapen
ghetto;slum
gift;äktenskaplig
gift;äktenskapsbunden
gifta;viga
gifte;bröllop
gifte;äktenskap
giftermål;bröllop
giftermål;vigsel
giftermål;äktenskap
giftighet;toxicitet
giga;miljard
gigant;jätte
gigant;jättelik
gigant;koloss
gigantisk;enorm
gigantisk;jättelik
gigantisk;jättestor
gigantisk;kolossal
gigantisk;oerhörd
gigantisk;ofantlig
gigantisk;stor
gigantisk;väldig
gigantiskt;jätte
giljotin;fallbila
gilla;digga
gilla;sukta efter
gilla;tycka om
gilla;uppskatta
gillande;bifall
gillar;diggar
gillar;tycker om
gillar;uppskattar
gille;fest
gille;gästabud
gille;samkväm
gille;skrå
giltig;gällande
giltighet;validitet
gir;vändning
gira;svänga
girig;lysten
gissa;anta
gissa;antaga
gissa;förmoda
gissa;spekulera
gissa;uppskatta
gissel;plåga
gissel;problem
gissning;förmodan
gissning;hypotes
gissning;spekulation
gissning;uppskattning
gisten;murken
gisten;rutten
gitta;dra
gitta;sticka
gitta;tagga
gitter;orkar
giva;donera
giva;ge
giva;skänka
giva;överlämna
givande;fruktbärande
givande;utvecklande
givare;donator
givare;sensor
given;bestämd
given;självklar
given;solklar
given;uppenbar
givet;tveklöst
givetvis;ja
givetvis;naturligtvis
givetvis;självfallet
givetvis;självklart
givetvis;så klart
givetvis;tveklöst
givetvis;utan tvivel
givmild;generositet
givmild;generös
givmildhet;generositet
gjord;klar
gjord;konstruerad
glad;frejdig
glad;fryntlig
glad;förtjust
glad;gladlynt
glad;gladsint
glad;jovialisk
glad;lycklig
glad;munter
glad;positiv
glad;på bra humör
glad;på gott humör
glad;på topp
glad;sprudlande
glad;upprymd
glad;uppsluppen
glad;uppspelt
glad;uppåt
glad;yster
glad jul;god jul
glad prick;tjomme
gladiator;kämpe
gladlynt;glad
gladlynt;lättsam
gladlynt;munter
gladporr;mjukporr
gladsint;glad
glana;titta
glans;blänk
glans;lyster
glans;prakt
glansig;blank
glansig;glänsande
glanslös;matt
glanslös;tråkig
glapp;språng
glappkäft;pratkvarn
glas;bägare
glasklart;uppenbart
glass;isglass
glasstrut;strut
glasögon;brillor
glasögonsnodd;senilsnöre
glatt;hal
glatt;halt
glatt;jovialiskt
glatt;lyckligt
glatt;roligt
gles;otät
gles;spridd
gles;utspridd
glida;glidande
glida;halka
glida;kana
glida;kasa
glida;rutscha
glida;slira
glidande;glida
glimma;blänka
glimma;glittra
glimma;glänsa
glimma;gnistra
glimma;skimra
glimma;skina
glimma;tindra
glimmar;skimrar
glimra;glänsa
glimt;en titt
glimt;skymt
glimt;titt
glimta;blänka
glimta;skymta
glin;småbarn
glipa;springa
glipa;öppning
glittra;blänka
glittra;glimma
glittra;gnistra
glittra;tindra
glittrande;gnistrande
glo;bliga
glo;blänga
glo;snegla
glo;stirra
glo;stirrande
glo;titta
glob;klot
glob;sfär
global;världsomfattande
global;världsomspännande
glosa;ord
glosor;ord
glugg;gap
glugg;hål
glugg;lucka
glugg;öppning
glutta;smygtitta
glutta;titta
glutta;tjuvkika
glöd;framfötterna
glöd;hetta
glöd;passion
glöd;patos
glöda;pyra
glödande;entusiastisk
glödande;exalterad
glödande;intensiv
glödande;livlig
glödhet;het
glädja;behaga
glädja;roa
glädjas åt;uppskatta
glädje;eufori
glädje;fröjd
glädje;förtjusning
glädje;lycka
glädje;munterhet
glädje;tillfredsställelse
glädje;upprymdhet
glädje;välbehag
glädjeflicka;fnask
glädjeflicka;prostituerad
glädjelös;dyster
glädjelös;trist
gläfsa;skälla
glåmig;blek
glömma;förgät
glömma;förgäta
glömma;förtränga
glömma;inte komma ihåg
glänsa;blänka
glänsa;briljera
glänsa;glimma
glänsa;glimra
glänsa;lysa
glänsa;skimra
glänsa;skina
glänsa;stila
glänsa;stråla
glänsa;tindra
glänsande;blank
glänsande;blankpolerad
glänsande;glansig
glänsande;lysande
glänsande;skimrande
glänsande;skinande
glänsande;storartad
glänsande;strålande
glänta;hålrum i skogen
glåpord;okvädinsord
glåpord;skymford
glättig;sorglös
gnabb;gnäll
gnata;tjata
gnatig;tjat
gnetig;snål
gnida;gno
gnida;gnugga
gnida;putsa
gnida;stryka
gniden;snål
gnidig;snål
gnistra;blänka
gnistra;glimma
gnistra;glittra
gnistra;tindra
gnistrande;glittrande
gno;arbeta
gno;gnida
gno;gnugga
gno;jobba
gno;nöta
gno;putsa
gno;slit
gno;slita
gno;streta
gnola;nynna
gnola;nynnande
gnola;småsjunga
gnola;tralla
gnom;troll
gnugga;gnida
gnugga;gno
gnugga;putsa
gnutta;nypa
gnutta;smula
gnutta;tillstymmelse
gnutta;uns
gny;gnälla
gny;jämra sig
gny;klaga
gny;kvida
gny;pipa
gnäll;gnabb
gnäll;tjat
gnälla;gny
gnälla;klaga
gnälla;knorra
gnälla;knota
gnälla;kvida
gnällig;grinig
gnällig;kinkig
gnällig;klagande
gnällig;sur
gnällig;tjatig
go;driv
go;gullig
go;härlig
go;mysig
go;skön
gobeläng;bonad
god;aptitlig
god;bra
god;delikat
god;duglig
god;förtjänstfull
god;godis
god;gynnsam
god;huld
god;hyvens
god;härlig
god;läcker
god;mumsig
god;rättfärdig
god;smakfull
god;smaklig
god;smaskig
god;snäll
god;välsmakande
god;välvillig
god egenskap;dygd
god jul;glad jul
godag;hej
godartad;benign
godbit;godis
godbit;läckerbit
godbit;läckerhet
goddag;hej
goddagens;hej
goddagens;hejsan
godhet;barmhärtighet
godhet;snällhet
godhet;välvilja
godhet;vänlighet
godhjärtad;snäll
godhjärtad;varm
godhjärtad;vänlig
godhjärtad;ädel
goding;pudding
goding;snygging
goding;sötnos
godis;god
godis;godbit
godis;godsaker
godis;karamell
godis;karameller
godis;konfekt
godis;konfektyr
godis;snacks
godis;snask
godis;sötsak
godis;sötsaker
godkänd;acceptabel
godkänd;grön
godkänna;acceptera
godkänna;bevilja
godkänna;bifalla
godkänna;ge bifall
godkänna;godta
godkänna;konfirmera
godkänna;legitimera
godkänna;ratificera
godkänna;tillstryka
godkänna;tillåta
godkännande;accept
godkännande;acceptans
godkännande;accepterande
godkännande;bifall
godkännande;samtycke
godkännande;tillstånd
gods;herrgård
gods;last
gods;varor
godsaker;godis
godsint;snäll
godsägare;patron
godta;acceptera
godta;godkänna
godtaga;acceptera
godtagbar;acceptabel
godtagbart;okej
godtrogen;naiv
godtycklig;slumpartad
godtyckligt;arbiträrt
goja;nonsens
goja;smörja
goja;strunt
goja;trams
golf;moderatbandy
golvad;nedslagen
golvlist;sockel
gorma;ryta
gorma;skrika
gosa;kela
gosa;krama
gosa;mysa
gosedjur;kramdjur
gosig;kelig
gosig;kramgo
gosig;mysig
gosigt;mysigt
gosse;grabb
gosse;kille
gosse;pojke
gosse;påg
gossebarn;grabb
gott;bra
gott;gött
gott;läckert
gott;mumsigt
gott;smakligt
gott;smaskigt
gott;väl
gottgöra;ersätta
gottgöra;gengälda
gottgöra;kompensera
gottgöra;återgälda
gottgörelse;bot
gottgörelse;ersättning
gottgörelse;kompensation
grabb;boy
grabb;gosse
grabb;gossebarn
grabb;kille
grabb;pojke
grabb;påg
grabba;fatta
grabba;greppa
grabba;ta tag i
grace;elegans
gracil;smäcker
grad;nivå
grad;omfattning
grad;rang
grad;stadium
grad;utsträckning
gradera;bedöma
gradera;betygsätta
gradera;klassificera
gradera;poängsätta
gradera;ranka
gradera;värdera
gradering;ordningsföljd
gradvis;stegvis
gradvis;successiv
gradvis;successivt
graffiti;gatukonst
grammatik;satslära
grammofonskiva;platta
gramse;arg
gramse;förtörnad
gramse;sur
grandios;magnifik
grandios;storartad
grandios;storslagen
grandios;storstilad
grandios;vacker
grandiost;stort
grann;elegant
grann;fager
grann;fin
grann;fint
grann;praktfull
grann;skön
grann;snygg
grann;stilig
grann;storslagen
grann;ståtlig
grann;söt
grann;utsmyckad
grann;vacker
granne;nabo
granne;närmastboende
grannskap;närboende
grannskap;omgivning
grannskap;trakt
granska;analysera
granska;avsyna
granska;avsöka
granska;besikta
granska;besiktiga
granska;besiktning
granska;betrakta
granska;inspektera
granska;kolla
granska;kontrollera
granska;mönstra
granska;nagelfara
granska;pröva
granska;revidera
granska;skärskåda
granska;syna
granska;syna av
granska;söka av
granska;ta reda på
granska;undersöka
granskad;rannsakad
granskare;bedömare
granskare;besiktningsman
granskare;inspektör
granskare;kontrollant
granskare;undersökare
granskning;besiktning
granskning;inspektion
granskning;kontroll
granskning;revision
granskning;skärskådning
granskning;studie
granskning;syna
granskning;test
granskning;undersökning
granskning;översyn
gratifikation;belöning
gratis;avgiftsfri
gratis;fria
gratis;kostnadsfri
gratis;okostligt
gratissaker;nånting som är gratis
gratulera;lyckönska
gratulera;uppvakta
grav;svår
grav;viloplats
gravera;rista
gravfält;kyrkogård
gravid;bulle i ugnen
gravid;dräktig
gravid;havande
gravid;med barn
gravid;på smällen
graviditet;havandeskap
gravitation;tyngdkraft
gravplats;begravningsplats
gravskrift;epitafium
gravsten;minnesmärke
gray;grått
gredelin;lila
gredelin;violett
gredelint;lila
grej;föremål
grej;grunka
grej;manick
grej;mojäng
grej;pinal
grej;pryl
grej;sak
grej;saker
grej;ting
grej;tingest
greja;dona
greja;fixa
greja;hantera
greja;klara
greja;laga
greja;lösa
greja;ordna
grejar;fixar
grejer;prylar
grejer;saker
grek;grekisk människa
grekisk människa;grek
gren;filial
gren;kvist
gren;skrev
gren;trädgren
grensax;sekatör
grepp;fattning
grepp;fäste
grepp;kontroll
grepp;tag
greppa;begripa
greppa;fatta
greppa;grabba
greppa;hålla
greppa;ta
grift;viloplats
grift;vilostad
grillkiosk;korvmoj
grimas;min
grin;flin
grin;hånskratt
grina;böla
grina;gråta
grina;lipa
grinig;bitter
grinig;gnällig
grinig;lättirriterad
grinig;sur
grinig;tjurig
grinig;trumpen
grinig;vresig
grinolle;lipmes
gripa;anhålla
gripa;arrestera
gripa;fatta
gripa;fånga
gripa;haffa
gripa;infånga
gripa;snappa
gripa;ta
gripa;ta tag
gripande;fängslande
gripande;hjärtknipande
gripande;spännande
gripbar;konkret
gripen;betagen
gripen;haffad
gripen;rörd
gripen;tagen
gris;nasse
gris;svin
grisa;kladda
grisa;smutsa
grisa;svina
griseri;svineri
grishona;so
grisig;skitig
grisig;smutsig
grisig;sölig
griskött;fläsk
grismamma;so
grismamma;sugga
gro;växa
groda;groddjur
groda;tabbe
grodd;skott
groddjur;groda
groll;agg
groll;bråk
groll;tvist
grop;hål
grop;hålighet
grotesk;extrem
grotesk;ful
grotesk;makaber
grotesk;vidrig
grotta;håla
grottmänniska;neandertalare
grov;flagrant
grov;kraftig
grov;maffig
grov;massiv
grov;obscen
grov;ofin
grov;oförskämd
grov;ohyvlad
grov;ruff
grov;råbarkad
grov;vulgär
grovt;rått
grubbel;oro
grubbla;fundera
grubbla;tänka
grubblare;tänkare
gruff;bråk
gruffa;bråk
gruffa;gräla
gruffa;käbbla
grumlig;oklar
grumlig;otydlig
grund;bas
grund;fundament
grund;fäste
grund;huvudsak
grund;stomme
grund;underlag
grund;ytlig
grunda;anlägga
grunda;basera
grunda;bilda
grunda;etablera
grunda;forma
grunda;grundlägga
grunda;inrätta
grunda;instifta
grunda;skapa
grunda;stadfästa
grunda;starta
grunda;upprätta
grundare;skapare
grundförutsättning;förutsättning
grundförutsättning;nödvändig
grundförutsättning;nödvändighet
grundfästa;förankra
grundlag;konstitution
grundlig;djupgående
grundlig;djuplodande
grundlig;fundamental
grundlig;ingående
grundlig;mycket noggrann
grundlig;noga
grundlig;noggrann
grundlig;ordentlig
grundlig;utförlig
grundlig;uttömmande
grundlighet;noggrannhet
grundligt;djupt
grundligt;ingående
grundligt;noga
grundligt;uttömmande
grundligt;välgenomfört
grundlägga;basera
grundlägga;etablera
grundlägga;grunda
grundläggande;basal
grundläggande;elementär
grundläggande;fundamental
grundläggande;primär
grundläggande;principiell
grundläggande;rudimentär
grundlös;obefogad
grundnorm;lagar
grundsats;axiom
grundval;fundament
grunka;apparat
grunka;grej
grunka;mackapär
grunka;manick
grunka;mojäng
grunka;sak
grunna;fundera
grupp;ansamling
grupp;enhet
grupp;falang
grupp;flock
grupp;gäng
grupp;hop
grupp;kategori
grupp;klunga
grupp;kluster
grupp;samling
grupp;sammanslutning
grupp;sektion
grupp;skara
grupp;skock
grupp;svärm
grupp;sällskap
grupparbete;lagarbete
gruppboende;kollektiv
gruppera;indela
gruppera;ordna
grus;småsten
gruva;oroa
gruvhål;schakt
gruvlig;förskräcklig
gruvlig;hemsk
gruvlig;svår
grym;barbarisk
grym;bestialisk
grym;brutal
grym;cool
grym;elak
grym;frän
grym;grymt
grym;häftig
grym;hård
grym;inhuman
grym;omänsklig
grym;ondsint
grym;ondskefull
grym;taggad
grym;taskig
grym;tuff
grymma;coola
grymt;ballt
grymt;coolt
grymt;fett
grymt;grym
grymt;häftigt
grymt;väldigt
gryning;morgon
gryta;kittel
gryta;kokkärl
grå;dyster
grå;trist
grå;tråkig
gräbba;flicka
gråben;varg
grådaskig;mulen
grädda;elit
gräddan;eliten
gräddkanna;gräddsnipa
gräddsnipa;gräddkanna
gräl;bråk
gräl;dispyt
gräl;konflikt
gräl;tvist
gräla;bråk
gräla;bråka
gräla;gruffa
gräla;kiva
gräla;kivas
gräla;käbbla
gräla;käfta
gräla;träta
gräla;tvista
gräll;bjärt
gräll;färggrann
gräll;skrikig
grön;ekologisk
grön;godkänd
grön;grönt
grön;oerfaren
grön;ungdomlig
gröngöling;nybörjare
gräns;barriär
gräns;limit
gräns;ände
grönsaker;vegetabilier
grönska;växtlighet
gränslös;ohämmad
gränslös;oändlig
gränsområde;utkant
gränsvärde;inskränka
grönt;grön
gräs;hasch
gräs;knark
gräs;marijuana
gräslig;avskyvärd
gräslig;bedrövlig
gräslig;fasansfull
gräslig;fruktansvärd
gräslig;förfärlig
gräslig;förskräcklig
gräslig;hemsk
gräslig;hisklig
gräslig;nedrig
gräslig;ohygglig
gräslig;ryslig
gräslig;smaklös
gräslig;vidrig
gräsmark;vall
gråt;böla
gråta;böla
gråta;fälla tårar
gråta;grina
gråta;lipa
gråta;snyfta
gråta;tjuta
gråter;ögonflod
gråtfärdig;gråtmild
grötig;otydlig
grötig;rörig
grötig;sluddrig
gråtmild;gråtfärdig
gråtmild;sentimental
grått;gray
grätten;petnoga
gräva;böka upp
gräva;snoka
gräva;undersöka
gubbe;gammal man
gubbe;karl
gubbe;äldre man
gubben;mannen
gudalära;mytologi
gudfruktig;from
gudfruktig;religiös
gudfruktig;troende
gudomlig;underbar
guds hus;kyrka
gudsförnekare;ateist
gudstjänst;mässa
gudstjänstlokal;bönehus
gudstjänstlokal;bönhus
gudstjänstlokal;helgedom
gudstjänstlokal;kyrka
gudstjänstlokal;missionshus
guida;leda
guida;lotsa
guida;vägleda
guida;vägledning
guide;ciceron
guide;handbok
guide;mentor
guide;reseledare
guide;vägledare
guide;vägledning
gul;citronfärgad
gul;solgul
guleböj;banan
gulla;kela
gulleplutt;sötnos
gullig;bedårande
gullig;go
